site_type,pages,features,design,urgency,cost
ecommerce,7,6,full,medium,12937.5
ecommerce,12,3,none,high,9517.5
saas,3,2,full,low,10200.0
portfolio,3,2,partial,high,2916.0
landing,13,2,partial,high,4941.0
saas,9,5,partial,low,10680.0
landing,17,6,full,medium,9056.25
business,10,6,full,medium,9401.25
blog,18,6,none,medium,7647.5
ecommerce,2,2,partial,low,6360.0
ecommerce,3,2,partial,low,6360.0
saas,14,2,partial,medium,11661.0
business,7,2,none,medium,3910.0
landing,1,1,full,medium,1983.75
portfolio,2,1,full,medium,2415.0
blog,1,2,full,medium,4830.0
landing,13,6,none,low,4650.0
saas,5,1,none,low,6700.0
landing,13,5,partial,high,6885.0
portfolio,11,6,none,medium,5290.0
blog,12,3,partial,low,5460.0
landing,5,6,partial,low,4140.0
landing,18,5,none,high,6750.0
ecommerce,7,4,full,high,13567.5
saas,6,2,full,medium,12506.25
saas,17,1,full,low,12750.0
business,12,6,partial,medium,7935.0
portfolio,1,1,none,medium,1610.0
saas,12,5,partial,medium,12903.0
blog,18,2,partial,high,8181.0
blog,19,6,none,high,9180.0
portfolio,18,2,none,low,4050.0
saas,12,3,none,low,8550.0
portfolio,5,2,none,medium,2415.0
landing,20,6,full,low,8550.0
blog,9,5,none,low,4900.0
ecommerce,4,2,none,low,5450.0
business,1,2,partial,low,3360.0
business,9,3,partial,low,4920.0
landing,17,1,partial,high,5265.0
ecommerce,12,3,partial,low,8460.0
ecommerce,16,4,partial,low,9660.0
saas,15,4,partial,high,15228.0
blog,10,4,full,high,9416.25
business,16,4,partial,low,6660.0
portfolio,11,3,full,low,5100.0
business,5,3,partial,medium,4830.0
portfolio,6,1,partial,low,2220.0
landing,1,6,full,low,4725.0
landing,2,3,none,medium,2242.5
blog,12,5,full,medium,9228.75
business,11,6,full,low,8400.0
business,13,6,full,low,8850.0
ecommerce,16,4,full,medium,13886.25
ecommerce,4,6,full,medium,12161.25
business,2,3,partial,medium,4416.0
blog,19,3,partial,low,6720.0
ecommerce,3,1,full,medium,8452.5
portfolio,13,3,partial,low,4440.0
portfolio,4,4,full,low,4125.0
blog,18,6,full,medium,11471.25
business,13,5,partial,high,8910.0
portfolio,14,3,none,low,3850.0
landing,11,4,full,medium,6123.75
landing,5,1,full,medium,2501.25
business,14,3,none,high,6547.5
portfolio,13,5,none,medium,5175.0
landing,1,6,partial,high,5103.0
blog,13,4,full,high,10327.5
business,7,5,full,medium,7935.0
ecommerce,13,4,partial,high,12312.0
blog,18,5,full,medium,10781.25
ecommerce,18,1,full,low,10725.0
ecommerce,1,4,partial,medium,8418.0
blog,10,5,full,medium,8711.25
portfolio,11,2,full,medium,5175.0
saas,6,6,partial,low,10620.0
business,8,4,partial,low,5220.0
landing,16,6,full,medium,8797.5
portfolio,7,1,full,medium,3450.0
business,15,1,partial,medium,5796.0
portfolio,12,6,full,high,9618.75
saas,1,1,full,high,12960.0
landing,9,6,partial,medium,5589.0
portfolio,18,3,full,low,6675.0
landing,18,5,partial,medium,6900.0
landing,2,2,partial,medium,2139.0
landing,16,3,full,low,5850.0
blog,4,5,full,medium,7158.75
business,7,4,partial,low,5040.0
business,8,2,full,medium,6123.75
ecommerce,7,4,partial,medium,9246.0
blog,12,6,partial,low,6900.0
business,7,1,none,medium,3450.0
saas,6,6,partial,low,10620.0
business,4,3,full,medium,5778.75
portfolio,6,5,full,low,5175.0
saas,9,2,none,low,7700.0
ecommerce,8,3,partial,medium,8901.0
business,5,5,none,high,5805.0
