site_type,pages,features,design,urgency,cost
saas,13,3,partial,medium,8778.0
blog,18,3,partial,high,5186.5
blog,13,6,none,medium,4410.0
blog,14,3,full,medium,4856.25
portfolio,13,6,partial,high,4048.0
blog,13,4,full,medium,4987.5
ecommerce,3,3,partial,medium,5890.5
ecommerce,19,6,full,medium,9581.25
landing,2,4,full,medium,2034.38
ecommerce,16,4,partial,medium,7623.0
business,6,2,full,medium,3543.75
landing,13,2,full,low,2687.5
business,13,6,partial,low,4620.0
business,16,6,full,medium,5906.25
landing,10,5,full,medium,3215.62
saas,17,5,partial,low,9240.0
landing,20,5,partial,medium,3984.75
business,7,4,none,low,3200.0
landing,20,6,none,medium,3832.5
business,5,3,full,medium,3675.0
ecommerce,15,6,partial,medium,7969.5
business,11,1,none,high,3450.0
landing,6,3,full,medium,2165.62
landing,16,3,partial,medium,3060.75
portfolio,13,5,full,low,3750.0
landing,17,4,partial,medium,3407.25
portfolio,5,4,partial,medium,2310.0
ecommerce,1,6,partial,high,7210.5
portfolio,4,4,full,medium,2493.75
business,7,3,full,medium,3937.5
landing,7,6,full,high,3378.12
blog,1,5,partial,high,3795.0
landing,4,4,partial,medium,1905.75
landing,18,5,none,medium,3412.5
saas,19,1,partial,medium,9009.0
ecommerce,15,6,full,medium,9056.25
portfolio,6,4,full,high,3018.75
landing,1,2,full,low,1437.5
blog,11,1,partial,medium,3465.0
saas,13,5,full,high,11500.0
landing,2,6,full,medium,2559.38
blog,4,1,none,medium,2415.0
business,6,6,none,medium,3675.0
landing,14,1,partial,medium,2367.75
saas,18,5,none,medium,8925.0
portfolio,17,3,partial,medium,3465.0
portfolio,18,5,full,high,5031.25
business,4,2,partial,high,3162.5
blog,8,3,full,medium,4068.75
business,12,3,partial,high,4427.5
blog,17,4,full,low,5250.0
landing,15,2,partial,medium,2714.25
portfolio,16,1,partial,low,2750.0
business,1,4,full,low,3500.0
landing,9,6,full,medium,3346.88
business,12,6,partial,low,4510.0
saas,10,1,none,medium,7245.0
portfolio,11,6,partial,medium,3465.0
business,8,6,full,medium,4856.25
business,5,1,none,medium,2520.0
ecommerce,14,3,partial,medium,7161.0
blog,11,2,full,low,4000.0
portfolio,15,2,full,medium,3412.5
saas,9,1,full,medium,8925.0
portfolio,15,2,full,medium,3412.5
ecommerce,8,3,full,high,8050.0
ecommerce,9,2,full,low,6875.0
blog,11,2,partial,high,4048.0
portfolio,6,4,full,low,2625.0
landing,9,1,full,medium,2034.38
business,13,3,full,medium,4725.0
saas,15,5,full,low,10250.0
portfolio,1,1,full,high,1725.0
saas,13,5,full,high,11500.0
blog,10,3,none,medium,3465.0
business,17,3,none,low,4000.0
blog,11,2,none,medium,3360.0
landing,9,6,full,low,3187.5
blog,3,3,full,high,3737.5
portfolio,10,1,partial,medium,2194.5
landing,10,2,partial,low,2035.0
portfolio,8,2,partial,medium,2194.5
ecommerce,15,6,full,low,8625.0
ecommerce,18,4,full,medium,8925.0
blog,16,3,full,low,4875.0
portfolio,7,1,full,high,2300.0
portfolio,15,3,full,medium,3675.0
saas,3,5,none,medium,7350.0
portfolio,2,5,none,medium,2100.0
ecommerce,20,3,none,medium,7140.0
ecommerce,6,4,partial,medium,6468.0
ecommerce,7,1,full,medium,6693.75
business,19,4,partial,high,5566.0
blog,8,5,none,low,3500.0
landing,15,4,full,medium,3609.38
portfolio,17,2,partial,medium,3234.0
blog,14,3,full,low,4625.0
portfolio,4,1,partial,high,1644.5
portfolio,6,5,full,medium,3018.75
landing,9,1,full,medium,2034.38
